EPA ID,Site Name,City,County,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Region,Site ID,Address,Zip,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date
FLSFN0407002,JACKSONVILLE ASH SITE,JACKSONVILLE,DUVAL,FL,Not NPL,Yes,No ,No ,No,Yes,,,,,,,,,,
FMD980637987,PCB WASTES,PALAU,[Blank County],FM,Deleted NPL,No ,Yes,No ,Yes,Not a Groundwater Site,9.0,903062.0,"PALAU,YAP,TRUK,PONAPE,KOSARE",96942.0,N,N,,7.416667,151.783722,03/07/86
GA1570024330,ROBINS AIR FORCE BASE (LANDFILL #4/SLUDGE LAGOON),HOUSTON COUNTY,HOUSTON,GA,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,401869.0,ROBINS AFB,31098.0,Y,N,,32.619983,-83.582075,07/22/87
GA7170023694,MARINE CORPS LOGISTICS BASE,ALBANY,DOUGHERTY,GA,Final NPL,No ,Yes,No ,Yes,Yes,4.0,401879.0,FLEMING ROAD,31704.0,Y,N,,31.557219,-84.055,11/21/89
GAD001700699,MONSANTO CORP. (AUGUSTA PLANT),AUGUSTA,RICHMOND,GA,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,401299.0,1610 MARVIN GRIFFIN RD,30906.0,N,N,,33.38945,-81.993061,03/09/98
GAD003269578,"WOOLFOLK CHEMICAL WORKS, INC.",FORT VALLEY,PEACH,GA,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,4.0,401315.0,E MAIN ST P O BOX 938,31030.0,N,N,,32.549581,-83.884161,08/30/90
GAD003302676,MACON NAVAL ORDNANCE PLANT,MACON,BIBB,GA,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,4.0,405304.0,600 GUY PAINE ROAD,31206.0,N,N,,32.777658,-83.639675,05/24/13
GAD008212409,CAMILLA WOOD PRESERVING COMPANY,CAMILLA,MITCHELL,GA,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,401395.0,131 EAST BENNETT STREET,31730.0,N,N,,31.2225,-84.20333,07/28/98
GAD033582461,ALTERNATE ENERGY RESOURCES INC,AUGUSTA,RICHMOND,GA,Final NPL,No ,Yes,No ,Yes,Yes,4.0,401411.0,2736 WALDEN DR,30904.0,N,N,,33.454194,-82.036944,04/19/06
GAD042101261,T.H. AGRICULTURE & NUTRITION CO. (ALBANY PLANT),ALBANY,DOUGHERTY,GA,Final NPL,No ,No ,No ,Yes,Yes,4.0,401428.0,1401 SCHLEY AVE,31707.0,N,N,,31.617361,-84.181661,03/31/89
GAD095840674,"CEDARTOWN INDUSTRIES, INC.",CEDARTOWN,POLK,GA,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,401627.0,404 S. FURNACE STREET,30125.0,N,N,,34.0082,-85.2636,09/19/06
GAD099303182,LCP CHEMICALS GEORGIA,BRUNSWICK,GLYNN,GA,Final NPL,No ,No ,No ,No,No,4.0,401634.0,4014 ROSS RD,31520.0,N,N,,31.189444,-81.508333,06/17/96
GAD980495402,CEDARTOWN MUNICIPAL LANDFILL,CEDARTOWN,POLK,GA,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,401660.0,WEST OF N. TENTH ST AND GIRARD AVE,30125.0,N,N,,34.015969,-85.282639,03/10/99
GAD980496954,POWERSVILLE SITE,BYRON,PEACH,GA,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,401668.0,GA HWY 49 N,31008.0,N,N,,32.60889,-83.7936,11/01/10
GAD980556906,HERCULES 009 LANDFILL,BRUNSWICK,GLYNN,GA,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,401699.0,BENEDICT RD & ROUTE 25,31521.0,N,N,,31.2049,-81.4858,09/21/84
GAD980838619,MATHIS BROTHERS LANDFILL (SOUTH MARBLE TOP ROAD),KENSINGTON,WALKER,GA,Final NPL,No ,Yes,No ,Yes,Yes,4.0,401732.0,S MARBLE TOP RD,30728.0,N,N,,34.797781,-85.377781,03/31/89
GAD981024466,BRUNSWICK WOOD PRESERVING,BRUNSWICK,GLYNN,GA,Final NPL,No ,Yes,No ,Yes,No,4.0,405622.0,PERRY LANE ROAD,31520.0,N,N,,31.242222,-81.528056,04/01/97
GAD982112658,TERRY CREEK DREDGE SPOIL AREAS/HERCULES OUTFALL,BRUNSWICK,GLYNN,GA,Proposed NPL,Yes,No ,No ,Yes,Not a Groundwater Site,4.0,404439.0,ROUTE 17,31520.0,N,N,,31.166111,-81.466667,04/01/97
GAD990741092,DIAMOND SHAMROCK CORP. LANDFILL,CEDARTOWN,POLK,GA,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,401838.0,W. GIRARD AVENUE,30125.0,N,N,,34.0207,-85.2717,08/30/90
GAD990855074,FIRESTONE TIRE & RUBBER CO. (ALBANY PLANT),ALBANY,DOUGHERTY,GA,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,401840.0,3300 SYLVESTER RD,31701.0,N,N,,31.565831,-84.053889,10/04/89
GAD990855819,"LUMINOUS PROCESSES, INC.",ATHENS,CLARKE,GA,Deleted NPL,No ,Yes,No ,Yes,Not a Groundwater Site,4.0,401841.0,US HWY 78 & 29 4 MILES W,30622.0,N,N,,33.940281,-83.47195,12/30/82
GAD991275686,MARZONE INC./CHEVRON CHEMICAL CO.,TIFTON,TIFT,GA,Final NPL,No ,No ,No ,Yes,Insufficient Data,4.0,401854.0,GOLDEN ROAD,31794.0,N,N,,31.4289,-83.5017,10/04/89
GAN000407160,WESTSIDE LEAD,ATLANTA,FULTON,GA,Final NPL,No ,No ,No ,No,Not yet designated,4.0,407160.0,431 VINE STREET NW,30318.0,N,N,,33.766472,-84.407278,03/16/22
GAN000407449,PEACH ORCHARD RD PCE GROUNDWATER PLUME SITE,AUGUSTA,RICHMOND,GA,Final NPL,No ,Yes,No ,Yes,Yes,4.0,407449.0,INTERSECTION OF PEACH ORCHARD ROAD & LUMPKIN ROAD,30906.0,N,N,,33.421178,-82.015139,09/14/05
GAN000410033,ARMSTRONG WORLD INDUSTRIES,MACON,BIBB,GA,Final NPL,No ,No ,No ,Yes,Insufficient Data,4.0,410033.0,4520 BROADWAY ROAD,31206.0,N,N,,32.773497,-83.6516,09/16/11
GU6571999519,ANDERSEN AIR FORCE BASE,YIGO,GUAM,GU,Final NPL,No ,No ,No ,Yes,Yes,9.0,902825.0,PERIMETER RD,96929.0,Y,N,,13.572916,144.897361,10/14/92
GUD980637649,ORDOT LANDFILL,AGANA,GUAM,GU,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,902814.0,SAN CARLOS STREET ORDOT,96910.0,N,N,,13.439169,144.7474,09/08/83
HI0170090054,NAVAL COMPUTER AND TELECOMMUNICATIONS AREA MASTER STATION EASTERN PACIFIC,WAHIAWA,HONOLULU,HI,Final NPL,No ,No ,No ,Yes,Yes,9.0,902904.0,500 CENTER STREET,96786.0,Y,N,,21.519027,-158.005138,05/31/94
HI4170090076,PEARL HARBOR NAVAL COMPLEX,PEARL HARBOR,HONOLULU,HI,Final NPL,No ,No ,No ,No,Insufficient Data,9.0,904481.0,US NAVAL COMMAND,96860.0,Y,N,,21.388889,-157.983333,10/14/92
HI7210090026,SCHOFIELD BARRACKS (USARMY),SCHOFIELD,HONOLULU,HI,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,902923.0,SCHOFIELD BARRACKS (USARMY),96857.0,Y,N,,21.490694,-158.030139,08/10/00
HID980637631,DEL MONTE CORP. (OAHU PLANTATION),KUNIA,HONOLULU,HI,Final NPL,No ,Yes,Yes,Yes,Insufficient Data,9.0,902876.0,94-1000 KUNIA RD,96759.0,N,N,,21.458333,-158.066667,12/16/94
IA0001610963,RAILROAD AVENUE GROUNDWATER CONTAMINATION,WEST DES MOINES,POLK,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,703065.0,12TH & MAPLE,50265.0,N,N,,41.578333,-93.702222,09/05/02
IA7213820445,IOWA ARMY AMMUNITION PLANT,MIDDLETOWN,DES MOINES,IA,Final NPL,No ,No ,No ,Yes,Yes,7.0,700413.0,HWY 79 OFF MIDDLETOWN RD,52638.0,Y,N,,40.808331,-91.246669,08/30/90
IAD000606038,LAWRENCE TODTZ FARM,CAMANCHE,CLINTON,IA,Final NPL,No ,Yes,Yes,Yes,Insufficient Data,7.0,700039.0,RR 1,52730.0,N,N,,41.787781,-90.292639,06/10/86
IAD005279039,"ELECTRO-COATINGS, INC.",CEDAR RAPIDS,LINN,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700094.0,911 SHAVER RD NE,52402.0,N,N,,41.9953,-91.671389,09/12/19
IAD005291182,JOHN DEERE (OTTUMWA WORKS LANDFILLS),OTTUMWA,WAPELLO,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700110.0,VINE & MADISON,52501.0,N,N,,41.0025,-92.409719,01/22/01
IAD022193577,FARMERS' MUTUAL COOPERATIVE,HOSPERS,SIOUX,IA,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,7.0,700137.0,HWY 60 & PINE ST,51238.0,N,N,,43.074169,-95.905,11/13/01
IAD039954300,PCE FORMER DRY CLEANER,ATLANTIC,CASS,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,700145.0,1205 East 7th Street,50022.0,N,N,,41.403717,-94.995764,04/07/16
IAD042581256,AIDEX CORP.,MINEOLA,MILLS,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700155.0,I-29 & HIGHWAY 370,51554.0,N,N,,41.143839,-95.813556,10/21/93
IAD065210734,WHITE FARM EQUIPMENT CO. DUMP,CHARLES CITY,FLOYD,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700181.0,S.E. CORNER OF KELLOGG AVENUE AND ROTARY PARK ROAD,50616.0,N,N,,43.085,-92.680781,10/30/00
IAD069625655,MIDWEST MANUFACTURING/NORTH FARM,KELLOGG,JASPER,IA,Final NPL,No ,Yes,Yes,Yes,Insufficient Data,7.0,700185.0,101 HIGH ST,50135.0,N,N,,41.746811,-92.893061,06/10/86
IAD085824688,MID-AMERICA TANNING CO.,SERGEANT BLUFF,WOODBURY,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700204.0,PORT NEAL ROAD,51054.0,N,N,,42.3375,-96.352219,09/24/04
IAD980630487,VOGEL PAINT & WAX CO.,MAURICE,SIOUX,IA,Final NPL,No ,Yes,No ,Yes,No,7.0,700237.0,GRANT AVENUE BETWEEN 490TH ST. AND 500TH ST.,51036.0,N,N,,42.934439,-96.193339,06/10/86
IAD980630560,SHAW AVENUE DUMP,CHARLES CITY,FLOYD,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,700244.0,SHAW AVE,50616.0,N,N,,43.0563,-92.6631,07/22/87
IAD980630750,SHELLER-GLOBE CORP. DISPOSAL,KEOKUK,LEE,IA,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,7.0,700260.0,AIRPORT RD (34OTH ST) AND 260TH AVENUE,52632.0,N,N,,40.4666,-91.4139,09/24/01
IAD980631063,LABOUNTY,CHARLES CITY,FLOYD,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700286.0,910 S GRAND AVE,50616.0,N,N,,43.058,-92.6696,10/06/93
IAD980632509,RED OAK CITY LANDFILL,RED OAK,MONTGOMERY,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700297.0,US 34 HWY 48 1 MI W ON HWY 34,51566.0,N,N,,41.036444,-95.249111,09/26/05
IAD980685804,"E.I. DU PONT DE NEMOURS & CO., INC. (COUNTY ROAD X23)",WEST POINT,LEE,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700312.0,FF X23 3.5 MI S OF,52656.0,N,N,,40.656467,-91.432639,09/25/95
IAD980687933,DES MOINES TCE,DES MOINES,POLK,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,700316.0,SEC 8 & 9 T78N R24W,50309.0,N,N,,41.5781,-93.636,09/08/83
IAD980852461,NORTHWESTERN STATES PORTLAND CEMENT CO.,MASON CITY,CERRO GORDO,IA,Deleted NPL,No ,Yes,Yes,Yes,Yes,7.0,700324.0,SEC 33 T97N R20W,50401.0,N,N,,43.175,-93.205,08/31/95
IAD980852578,PEOPLES NATURAL GAS CO.,DUBUQUE,DUBUQUE,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,700325.0,502 E 11TH ST,52001.0,N,N,,42.505281,-90.658889,08/30/90
IAD980969190,MASON CITY COAL GASIFICATION PLANT,MASON CITY,CERRO GORDO,IA,Final NPL,No ,Yes,Yes,Yes,Insufficient Data,7.0,700337.0,"5TH ST, BETWEEN DELAWARE & PENNSYLVANIA",50401.0,N,N,,43.1476,-93.1992,12/16/94
IAD981124167,FAIRFIELD COAL GASIFICATION PLANT,FAIRFIELD,JEFFERSON,IA,Final NPL,No ,Yes,Yes,Yes,Yes,7.0,700347.0,101 S 7TH ST,52556.0,N,N,,41.0062,-91.9724,08/30/90
IAD984566356,WATERLOO COAL GASIFICATION PLANT,WATERLOO,BLACK HAWK,IA,Proposed NPL,No ,No ,No ,Yes,Yes,7.0,700034.0,SYCAMORE & ELM ST,50703.0,N,N,,42.491389,-92.326389,10/14/92
IAD984591172,IOWA CITY FMGP,IOWA CITY,JOHNSON,IA,Not NPL,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
IAN000705485,LOT 46 VALLEY GARDENS TCE,DES MOINES,POLK,IA,Final NPL,No ,No ,No ,Not yet designated,Not yet designated,7.0,705485.0,"2500 BLOCK, GARDEN ROAD",50321.0,N,N,,41.5665,-93.6521,03/07/24
IAN000706042,HIGHWAY 3 PCE,LE MARS,PLYMOUTH,IA,Final NPL,No ,No ,No ,Yes,Insufficient Data,7.0,706042.0,INTERSECTION OF HIGHWAY 3 AND CENTRAL AVENUE,51031.0,N,N,,42.79305,-96.166464,09/09/22
ID3572124557,MOUNTAIN HOME AIR FORCE BASE,MOUNTAIN HOME,ELMORE,ID,Final NPL,No ,Yes,No ,Yes,Insufficient Data,10.0,1000302.0,"HWY 67, 10 MI W OF CY",83648.0,Y,N,,43.04805,-115.8647,08/30/90
ID4890008952,IDAHO NATIONAL ENGINEERING LABORATORY (USDOE),IDAHO FALLS,[Blank County],ID,Final NPL,No ,No ,No ,Yes,Yes,10.0,1000305.0,AEC TESTING RESERVATION US HWY 20/26 40 MI W OF IDAHO FALLS,83401.0,Y,Y,Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),43.529389,-112.9435,11/21/89
IDD000800961,ARRCOM (DREXLER ENTERPRISES),RATHDRUM,KOOTENAI,ID,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,10.0,1000174.0,20253 W. Highway 53,83858.0,N,N,,47.7847,-116.9458,12/23/92
IDD041310707,KERR-MCGEE CHEMICAL CORP. (SODA SPRINGS PLANT),SODA SPRINGS,CARIBOU,ID,Final NPL,No ,Yes,No ,No,No,10.0,1000190.0,"HIGHWAY 34, 3 MILES N OF CY",83276.0,N,N,,42.687219,-111.5736,10/04/89
IDD048340921,BUNKER HILL MINING & METALLURGICAL COMPLEX,SMELTERVILLE,SHOSHONE,ID,Final NPL,No ,No ,No ,No,No,10.0,1000195.0,SILVER VLY,83837.0,N,Y,Coeur D'Alene Tribe (Current); Spokane Tribe of the Spokane Reservation (Current),47.543061,-116.1617,09/08/83
IDD055030852,UNION PACIFIC RAILROAD CO.,POCATELLO,BANNOCK,ID,Deleted NPL,No ,Yes,Yes,Yes,Yes,10.0,1000201.0,300 S HARRISON,83201.0,N,Y,Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),42.8954,-112.4876,09/22/97
IDD081830994,MONSANTO CHEMICAL CO. (SODA SPRINGS PLANT),SODA SPRINGS,CARIBOU,ID,Final NPL,No ,Yes,No ,Insufficient Data,No,10.0,1000213.0,"HWY 34, 2 MI N OF CY",83276.0,N,N,,42.687031,-111.5878,08/30/90
IDD098812878,PACIFIC HIDE & FUR RECYCLING CO.,POCATELLO,BANNOCK,ID,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,10.0,1000219.0,3575 HWY 30 W,83201.0,N,Y,Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),42.8957,-112.486,11/04/99
IDD980665459,STIBNITE/YELLOW PINE MINING AREA,STIBNITE,VALLEY,ID,Proposed NPL,No ,No ,No ,Insufficient Data,No,10.0,1000236.0,T18N R9E S3,83677.0,N,Y,Nez Perce Tribe (Current); Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),44.8925,-115.345278,09/13/01
IDD980725832,BLACKBIRD MINE,LEMHI COUNTY,LEMHI,ID,Proposed NPL,No ,No ,No ,Yes,Yes,10.0,1000256.0,BLACKBIRD MINE,83469.0,N,Y,Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),45.116389,-114.26444,05/10/93
IDD984666610,EASTERN MICHAUD FLATS CONTAMINATION,POCATELLO,[Blank County],ID,Final NPL,No ,No ,No ,Yes,No,10.0,1001308.0,"HWY 30, 3 MI W OF CITY",83201.0,N,Y,Shoshone-Bannock Tribes of the Fort Hall Reservation (Current),42.901111,-112.5225,08/30/90
IDN001002859,BALLARD MINE,SODA SPRINGS,CARIBOU,ID,Not NPL,Yes,No ,No ,Yes,Insufficient Data,,,,,,,,,,
IDSFN1002095,ST. MARIES CREOSOTE,ST. MARIES,BENEWAH,ID,Proposed NPL,No ,No ,No ,Yes,Insufficient Data,10.0,1002095.0,1369 RAILROAD AVENUE,83861.0,N,Y,Coeur D'Alene Tribe (Current),47.321389,-116.575,12/01/00
IL0000034355,OLD AMERICAN ZINC PLANT,FAIRMONT CITY,ST. CLAIR,IL,Final NPL,No ,No ,No ,No,Yes,5.0,507352.0,JUNCTION OF 45TH ST AND COOKSON ROAD,62201.0,N,N,,38.648,-90.099,04/07/16
IL0000064782,MATTHIESSEN AND HEGELER ZINC COMPANY,LA SALLE,LA SALLE,IL,Final NPL,No ,No ,No ,No,Yes,5.0,507364.0,"PARTS OF SECT. 10, 11, 14 & 15, T33N- R1E",61301.0,N,N,,41.34215,-89.083067,09/29/03
IL0210090049,JOLIET ARMY AMMUNITION PLANT (LOAD-ASSEMBLY-PACKING AREA),JOLIET,WILL,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,501170.0,HWY 53 & ARSENAL AVE,60434.0,Y,N,,41.3662,-88.0772,03/13/89
IL3210020803,SAVANNA ARMY DEPOT ACTIVITY,SAVANNA,JO DAVIESS,IL,Final NPL,No ,No ,No ,Yes,Insufficient Data,5.0,501174.0,7MI N OF SAVANNA ON RTE 84,61074.0,Y,N,,42.21,-90.313331,03/13/89
IL7213820460,JOLIET ARMY AMMUNITION PLANT (MANUFACTURING AREA),JOLIET,WILL,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,501179.0,6MI S OF ELWOOD OFF RTE 53,60434.0,Y,N,,41.3762,-88.1563,07/22/87
IL8143609487,SANGAMO ELECTRIC DUMP/CRAB ORCHARD NATIONAL WILDLIFE REFUGE (USDOI),CARTERVILLE,WILLIAMSON,IL,Final NPL,No ,No ,No ,Yes,Insufficient Data,5.0,501181.0,EAST OF STATE ROUTE 148,62959.0,Y,N,,37.693194,-89.014722,07/22/87
ILD000605790,SAUGET AREA 2,SAUGET,ST. CLAIR,IL,Proposed NPL,No ,No ,No ,Yes,Yes,5.0,500047.0,MONSANTO AVENUE,62201.0,N,N,,38.597361,-90.182222,09/13/01
ILD000716852,LAKE CALUMET CLUSTER,CHICAGO,COOK,IL,Final NPL,No ,No ,No ,Yes,Insufficient Data,5.0,500078.0,122ND STREET AND STONY ISLAND AVENUE,60633.0,N,N,,41.679444,-87.568889,03/04/10
ILD000802827,OUTBOARD MARINE CORP.,WAUKEGAN,LAKE,IL,Final NPL,No ,Yes,No ,Insufficient Data,No,5.0,500083.0,200 SEA HORSE DR,60085.0,N,N,,42.365281,-87.821111,09/08/83
ILD000814673,VELSICOL CHEMICAL CORP. (MARSHALL PLANT),MARSHALL,CLARK,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500092.0,RTE 1 1MI N OF MARSHALL,62441.0,N,N,,39.410831,-87.699169,09/08/83
ILD002994259,AMOCO CHEMICALS (JOLIET LANDFILL),JOLIET,WILL,IL,Final NPL,No ,No ,No ,Yes,Insufficient Data,5.0,500125.0,approx. or near 23423 Amoco Rd.,60410.0,N,N,,41.441669,-88.172781,02/21/90
ILD003817137,PETERSEN SAND & GRAVEL,LIBERTYVILLE,LAKE,IL,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,5.0,500127.0,ILLINOIS ROUTES 21 & 137,60048.0,N,N,,42.315831,-87.9537,02/11/91
ILD005252432,PARSONS CASKET HARDWARE CO.,BELVIDERE,BOONE,IL,Final NPL,No ,No ,No ,Yes,No,5.0,500189.0,424 FAIRVIEW AVENUE,61008.0,N,N,,42.2692,-88.836,07/22/87
ILD005443544,JOHNS-MANVILLE CORP.,WAUKEGAN,LAKE,IL,Final NPL,No ,Yes,No ,Yes,Insufficient Data,5.0,500197.0,E GREENWOOD AVE,60085.0,N,N,,42.386669,-87.811669,09/08/83
ILD005451711,"LENZ OIL SERVICE, INC.",LEMONT,DUPAGE,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500199.0,RTE 83 & JEANE RD,60439.0,N,N,,41.7068,-87.9422,10/04/89
ILD005468616,OTTAWA TOWNSHIP FLAT GLASS SITE,NAPLATE,LA SALLE,IL,Not NPL,Yes,No ,No ,Yes,No,,,,,,,,,,
ILD006282479,JENNISON-WRIGHT CORPORATION,GRANITE CITY,MADISON,IL,Final NPL,No ,Yes,No ,Yes,No,5.0,500229.0,900 WEST 22ND ST,62040.0,N,N,,38.708333,-90.1525,06/17/96
ILD010236230,BYRON SALVAGE YARD,BYRON,OGLE,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500261.0,NW1/4 SEC 13 T24N R10E,61010.0,N,N,,42.081667,-89.295833,09/08/83
ILD021440375,BELOIT CORP.,ROCKTON,WINNEBAGO,IL,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,5.0,500272.0,1165 PRAIRIE HILL Road,61072.0,N,N,,42.468611,-89.06555,08/30/90
ILD042671248,INDIAN REFINERY-TEXACO LAWRENCEVILLE,LAWRENCEVILLE,LAWRENCE,IL,Final NPL,No ,No ,No ,Yes,Yes,5.0,500315.0,SOUTH SEVENTH STREET,62439.0,N,N,,38.715556,-87.682222,12/01/00
ILD047019732,WAUCONDA SAND & GRAVEL,WAUCONDA,LAKE,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500332.0,BONNER & GARLAND RD,60084.0,N,N,,42.281389,-88.1375,09/08/83
ILD048306138,"TRI-COUNTY LANDFILL CO./WASTE MANAGEMENT OF ILLINOIS, INC.",ELGIN,KANE,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500340.0,7N 904 ILLINOIS ROUTE 25,60177.0,N,N,,41.9832,-88.2712,03/31/89
ILD048843809,CHEMETCO,HARTFORD,MADISON,IL,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,5.0,500342.0,3754 CHEMETCO LANE,62048.0,N,N,,38.799,-90.098,03/04/10
ILD050231976,CIRCLE SMELTING CORP.,BECKEMEYER,CLINTON,IL,Proposed NPL,No ,No ,No ,Yes,Not a Groundwater Site,5.0,500350.0,STATE RTE 50,62231.0,N,N,,38.608333,-89.420833,06/17/96
ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,WINNEBAGO,IL,Final NPL,No ,Yes,No ,Yes,Yes,5.0,500357.0,EAST OF LINDENWOOD RD,61109.0,N,N,,42.1577,-89.0455,09/08/83
ILD053980454,SANDOVAL ZINC COMPANY,SANDOVAL,MARION,IL,Final NPL,No ,No ,No ,No,Yes,5.0,500360.0,BOX 263 SMELTER ROAD HIGHWAY 51,62882.0,N,N,,38.613061,-89.108251,09/16/11
ILD062340641,DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORP.,DEPUE,BUREAU,IL,Final NPL,No ,No ,No ,No,No,5.0,500396.0,DEPOT ST & MARQUETTE ST,61356.0,N,N,,41.327778,-89.304167,05/10/99
ILD096731468,NL INDUSTRIES/TARACORP LEAD SMELTER,GRANITE CITY,MADISON,IL,Final NPL,No ,Yes,No ,Insufficient Data,Yes,5.0,500507.0,16TH & CLEVELAND BLVD,62040.0,N,N,,38.695,-90.158331,06/10/86
ILD099213498,ESTECH GENERAL CHEMICAL COMPANY,CALUMET CITY,COOK,IL,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,5.0,500521.0,150 MARBLE STREET,60409.0,N,N,,41.628303,-87.526905,09/30/15
ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,CUMBERLAND,IL,Deleted NPL,No ,Yes,Yes,Yes,Yes,5.0,500534.0,WEST CUMBERLAND,62428.0,N,N,,39.2439,-88.174,06/11/12
ILD980497663,BELVIDERE MUNICIPAL LANDFILL,BELVIDERE,BOONE,IL,Deleted NPL,No ,Yes,Yes,Yes,Yes,5.0,500542.0,APPLETON RD,61008.0,N,N,,42.2643,-88.8723,02/09/15
ILD980497788,MIG/DEWANE LANDFILL,BELVIDERE,BOONE,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500551.0,6505 Logan Avenue,61008.0,N,N,,42.255917,-88.806944,08/30/90
ILD980500102,YEOMAN CREEK LANDFILL,WAUKEGAN,LAKE,IL,Final NPL,No ,Yes,No ,Yes,Yes,5.0,500574.0,1011 WASHINGTON STREET,60085.0,N,N,,42.388889,-87.848611,03/31/89
ILD980605836,H.O.D. LANDFILL,ANTIOCH,LAKE,IL,Final NPL,No ,Yes,No ,Yes,Insufficient Data,5.0,500581.0,55 MCMILLAN ROAD,60002.0,N,N,,42.4753,-88.0819,02/21/90
ILD980605943,WOODSTOCK MUNICIPAL LANDFILL,WOODSTOCK,MCHENRY,IL,Final NPL,No ,Yes,Yes,Yes,Yes,5.0,500585.0,DAVIS ROAD,60098.0,N,N,,42.2923,-88.4402,10/04/89
ILD980606305,DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE,WARRENVILLE,DUPAGE,IL,Deleted NPL,No ,Yes,Yes,Yes,Yes,5.0,500606.0,ROUTE 56,60555.0,N,N,,41.8326,-88.1787,09/08/20
ILD980606685,PAGEL'S PIT,ROCKFORD,WINNEBAGO,IL,Final NPL,No ,Yes,No ,Yes,No,5.0,500628.0,BAXTER & LINDENWOOD RD,61109.0,N,N,,42.158331,-89.056661,06/10/86
ILD980606750,OTTAWA RADIATION AREAS,OTTAWA,LA SALLE,IL,Final NPL,No ,No ,No ,No,Yes,5.0,500634.0,"RTE 6 & RTE 71, OTTAWA AREA",61350.0,N,N,,41.351667,-88.836111,10/14/92
ILD980606941,EAGLE ZINC CO DIV T L DIAMOND,HILLSBORO,MONTGOMERY,IL,Final NPL,No ,No ,No ,Yes,Insufficient Data,5.0,500648.0,218 INDUSTRIAL PARK DRIVE,62049.0,N,N,,39.161167,-89.476417,09/19/07
ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,ADAMS,IL,Final NPL,No ,Yes,No ,Insufficient Data,Insufficient Data,5.0,500656.0,2 MILES NORTH OF BURTON TWP 1/2 MI WEST,62301.0,N,N,,39.929444,-91.268472,08/30/90
